lat,lon,address,features,price,gender,listed,expires
39.9474498,-75.22660307,5101-5199 Whitby Ave, Kitchen Furnished Laundry Alarm System,550, Either, Either, 86 days 8 hours
39.94747635,-75.22061804,722 S 49th St, A/C Furnished Parking,490, Male-only, Male-only, 79 days 9 hours
39.947589,-75.22819341,5200 Baltimore Ave,,600,,, 79 days 5 hours
39.96177843,-75.21642788,2-598 N 48th St, Alarm System A/C Laundry Furnished Kitchen,600, Male-only, Male-only, 79 days
39.95149919,-75.19812868,Vance Hall, Laundry Furnished Kitchen Party Space,700, Either, Either, 74 days 6 hours
39.95895426,-75.20911388,301-399 N Busti St,,450,,, 72 days 11 hours
39.95435953,-75.21387667,231 S 46th St, Furnished Laundry A/C Party Space Alarm System Parking Kitchen,800, Either, Either, 69 days 3 hours
39.95575809,-75.20324943,4003-4099 Pennsylvania 3, Kitchen Furnished Laundry A/C Party Space Alarm System Handicap Accessible,1325/month, Male-only, Male-only, 67 days 8 hours
39.9476163,-75.2169185,4712 Warrington Ave,,600,,, 66 days 2 hours
39.95645941,-75.20434464,20 S 41st St, Alarm System A/C Laundry Furnished Kitchen Handicap Accessible,1250, Either, Either, 59 days
39.95361098,-75.20277075,214 S 40th St, Kitchen Parking Furnished Laundry A/C Party Space,850, Either, Either, 18 days 8 hours
39.95613478,-75.19898141,3801-3851 Ludlow St, Kitchen Furnished Laundry A/C Party Space Alarm System,650, Either, Either, 22 days 22 hours
39.95772338,-75.20319722,4030 Filbert St, Laundry A/C Party Space Pet-Friendly Alarm System Furnished Kitchen,750, Male-only, Male-only, 1 day 7 hours
39.95517992,-75.20258152,104 S 40th St, Laundry Furnished Kitchen,550, Either, Either, 8 days 12 hours
39.95976319,-75.2004252,317 N State St, Alarm System Pet-Friendly Party Space A/C Laundry Furnished Kitchen,1100, Either, Either, 10 days
39.9503077,-75.21043373,4337 Larchwood Ave, Laundry Furnished Kitchen A/C,860, Female-only, Female-only, 58 days 14 hours
39.95907596,-75.2173862,4801-4865 Market St, Kitchen Parking Furnished Laundry A/C,750, Either, Either, 53 days 10 hours
39.94990603,-75.21630249,4642 Hazel Ave, Kitchen Parking Furnished Laundry A/C Party Space Alarm System,700, Either, Either, 15 days 22 hours
39.95793953,-75.19187105,3437 Lancaster Ave, Party Space A/C Laundry Furnished Kitchen Parking,600, Male-only, Male-only, 41 days 7 hours
39.94854412,-75.21284129,4512 Springfield Ave, Kitchen Furnished Laundry A/C Party Space Alarm System Handicap Accessible,600, Either, Either, 53 days 10 hours
